Código del Producto,Grupo de Productos,Unidad de Medida (UdM) predeterminada,Nombre del Producto,Deshabilitado,Mantener Stock,Permitir Ventas,Permitir Compra,Precio de venta estándar,Imagen,Unidad de Medida (UdM),Unidad de Medida de Compra Predeterminada,Unidad de Medida de Ventas Predeterminada,Almacén por defecto (Valores por Defecto del Artículo),Compañía (Valores por Defecto del Artículo)
000001,EQUIPOS Y MAQUINARIAS,Unit,CONTROL BOX,0,1,1,1,,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
VC60CA,SUMINISTRO PARA ROTULACION,Unit,VINYL DE CORTE 60 CM*45.7 M AQUA,0,1,1,1,54.63,image/art_VINILCORTE1.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
TSR11,SUMINISTRO PARA SUBLIMACION,Unit,TAZAS 11ONZ SUBLIMACION FONDO ROJO,0,1,1,1,1.37,image/art_TAZAFONDODECOLOR.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
TBS7501,SUMINISTRO PARA SUBLIMACION,Unit,TERMO BLANCO SPORT BOOTLE 750ML,0,1,1,1,3.67,image/art_TERMOBLANCOSPORT.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
VC60P1,SUMINISTRO PARA ROTULACION,Unit,VINYL DE CORTE 60 CM*45.7 M ROSADO VIEJA,0,1,1,1,54.63,image/art_VINILCORTE1.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
VC60C1,SUMINISTRO PARA ROTULACION,Unit,VINYL DE CORTE 60 CM*45.7 M AQUA,0,1,1,1,54.63,image/art_VINILCORTE1.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
GSA1A,SUMINISTRO PARA SUBLIMACION,Unit,GORRAS AMARILLA,0,1,1,1,1.00,image/art_GORRAS.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
TDUB11,TINTAS,Unit,TINTA UV VANISH. 1 LITRO INK,0,1,1,1,47.90,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
TDW12,TINTAS,Unit,TINTA DTF BLANCA SUBLIMACION 1 LITRO UV INK,0,1,1,1,36.90,image/art_TINTADTF.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
JN145,SUMINISTRO PARA SUBLIMACION,Unit,JARRAS NEVADAS 14 OZ SUBLIMACION,0,1,1,1,4.00,image/art_JARRANEVADA.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
TSR12,SUMINISTRO PARA SUBLIMACION,Unit,TAZAS 11ONZ SUBLIMACION FONDO ROJO,0,1,1,1,1.65,image/art_TAZAFONDODECOLOR.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
MB751,ACCESORIOS,Unit,MOLDE DE BOTON 75 M,0,1,1,1,155.00,image/art_MOLDE75M.jfif,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
LB1025001,SUMINISTRO PARA ROTULACION,Unit,LONA BANNER DE 500*500 1.02,0,1,1,1,48.70,image/art_LONA.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
A32035,ACCESORIOS,Unit,SQUEESE DE FELPA,0,1,1,1,2.35,image/art_SQUEESEDEFELPA.jpeg,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
A32034,EQUIPOS Y MAQUINARIAS,Unit,BOTONERA,0,1,1,1,,image/art_BOTONERA.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
A32033,EQUIPOS Y MAQUINARIAS,Unit,A3 XP 600 DTF,0,1,1,1,,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
A32032,ACCESORIOS,Unit,PULSERA VERDE NEON,0,1,1,1,,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
A32031,ACCESORIOS,Unit,PULSERA RASADA,0,1,1,1,,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
A32030,ACCESORIOS,Unit,PULSERA ANARANJADA,0,1,1,1,,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
A32029,ACCESORIOS,Unit,PULSERA ROJA,0,1,1,1,,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
A32028,ACCESORIOS,Unit,BROCHES,0,1,1,1,,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
A32027,EQUIPOS Y MAQUINARIAS,Unit,A3 POWEDER,0,1,1,1,,image/art_A.jpg,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
A32026,EQUIPOS Y MAQUINARIAS,Unit,A3 UV DTF,0,1,1,1,,image/art_A3SUBLIMAR.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
CAMISAXL2026,SUMINISTRO PARA SUBLIMACION,Unit,CAMISA NIÑO POLICOTTON XL,0,1,1,1,,image/art_CAMISAPOLICOTONNIÑO.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
CAMISAPOLY2026,SUMINISTRO PARA SUBLIMACION,Unit,CAMISA ADULTO POLYCOTTON S,0,1,1,1,3.50,image/art_CAMISAPOLICOTON.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
PPL60X80,DISPLAY POP Y EVENTOS,Unit,PIZARRA LED PARED,0,1,1,1,55.00,image/art_PIZARRALEDPARED.jpg,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
PL60X80P,DISPLAY POP Y EVENTOS,Unit,PIZARRA LED 60X80 PEDESTAL,0,1,1,1,55.00,image/art_PIZARRALED.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
PS11090,PEPELES Y TRANSFERS,Unit,PAPEL PARA SUBLIMAR ROLLO 1.10M 90 GRAMOS,0,1,1,1,30.94,image/art_ROLLOSUBLIMAR.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
PS11075,PEPELES Y TRANSFERS,Unit,PAPEL PARA SUBLIMAR 1.10M 75 GRAMOS,0,1,1,1,37.94,image/art_ROLLOSUBLIMAR.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
CAMISA2026,SUMINISTRO PARA SUBLIMACION,Unit,CAMISA RANGLAN AZUL M,0,1,1,1,2.50,image/art_CAMISARANGLANAZUÑ.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
LAPI2026,SUMINISTRO PARA SUBLIMACION,Unit,LAPICERO DE PLASTICO ANARANJADO,0,1,1,1,0.38,image/art_LAPICEROS.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
SQP05V,ACCESORIOS,Unit,SQUEESE PLASTICO VERDE (PALETA PARA PEGAR VINIL ),0,1,1,1,1.50,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
SQP04D,ACCESORIOS,Unit,SQUEESE PLASTICO DORADO (PALETA PARA PEGAR VINIL ),0,1,1,1,1.50,image/art_PALETA.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
PTFLA44,PEPELES Y TRANSFERS,Unit,PAPEL TRANSFER LASER A4,0,1,1,1,6.50,image/art_PAPELTRANSFER.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
VASO2027,SUMINISTRO PARA SUBLIMACION,Unit,VASO VINERO CELESTE,0,1,1,1,,image/art_VINERA.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
VASO2026,SUMINISTRO PARA SUBLIMACION,Unit,VASO VINERO ROSADO,0,1,1,1,,image/art_VINERA.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
FUND2026,SUMINISTRO PARA SUBLIMACION,Unit,FUNDA PILLOW MAGIC PARA SUBLIMAR (COJIN) CUADRADO MORADO,0,1,1,1,,image/art_COJINMAGICOCUADRADO.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
COLLAR21,SUMINISTRO PARA SUBLIMACION,Unit,COLLAR NC 21,0,1,1,1,,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
COLLA08,SUMINISTRO PARA SUBLIMACION,Unit,COLLAR NC08,0,1,1,1,,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
CUCHILA2026,ACCESORIOS,Unit,CUCHILLA SHAPPY,0,1,1,1,,image/art_CUCHILLA.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
V20261,SUMINISTRO PARA SUBLIMACION,Unit,"VINIL REFLECTIVO FILM 1,24*45,7",0,1,1,1,,image/art_VINILREFLECITVO.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
VC60AH,SUMINISTRO PARA ROTULACION,Unit,VINYL DE CORTE 60 CM*45.7 M AMARILLO HUEVO,0,1,1,1,54.63,image/art_VINILCORTE1.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
VC60O,SUMINISTRO PARA ROTULACION,Unit,VINYL DE CORTE 60 CM*45.7 M OCRE,0,1,1,1,54.63,image/art_VINILCORTE1.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
VC60P,SUMINISTRO PARA ROTULACION,Unit,VINYL DE CORTE 60 CM*45.7 M ROSADO,0,1,1,1,54.63,image/art_VINILCORTE1.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
VC60L,SUMINISTRO PARA ROTULACION,Unit,VINYL DE CORTE 60 CM* 45.7 M LILA,0,1,1,1,54.63,image/art_VINILCORTE1.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
VC60VB,SUMINISTRO PARA ROTULACION,Unit,VINYL DE CORTE 60 CM* 45.7 M VERDE BOTELLA,0,1,1,1,54.63,image/art_VINILCORTE1.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
FLOOR26,SUMINISTROS DTF,Unit,GRAFICO DE PISO 1.52X50M 180MICRON/110GRS FLOOR FILM ROLLO,0,1,1,1,,"image/art_FLOORFILM180MIC1,52M.jpg",Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
CMRRM,SUMINISTRO PARA SUBLIMACION,Unit,CAMISA MANGA RANGLAN ROJA M,0,1,1,1,3.50,image/art_CAMISARANGLANROJA.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
CMRRXL,SUMINISTRO PARA SUBLIMACION,Unit,CAMISA MANGA RANGLAN ROJA XL,0,1,1,1,3.50,image/art_CAMISARANGLANROJA.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
CMRRL,SUMINISTRO PARA SUBLIMACION,Unit,CAMISA MANGA RANGLAN ROJA L,0,1,1,1,3.50,image/art_CAMISARANGLANROJA.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
CMRRS,SUMINISTRO PARA SUBLIMACION,Unit,CAMISA MANGA RANGLAN ROJA S,0,1,1,1,3.50,image/art_CAMISARANGLANROJA.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
CMRAXL,SUMINISTRO PARA SUBLIMACION,Unit,CAMISA MANGA RANGLAN AZUL XL,0,1,1,1,3.50,image/art_CAMISARANGLANAZUÑ.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
CMRAL,SUMINISTRO PARA SUBLIMACION,Unit,CAMISA MANGA RANGLAN AZUL L,0,1,1,1,3.50,image/art_CAMISARANGLANAZUÑ.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
CMRAS,SUMINISTRO PARA SUBLIMACION,Unit,CAMISA MANGA RANGLAN AZUL S,0,1,1,1,3.50,image/art_CAMISARANGLANAZUÑ.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
CA2026,SUMINISTRO PARA SUBLIMACION,Unit,CAMISA MANGA RANGLAN M,0,1,1,1,3.50,image/art_CAMISARANGLANROJA.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
TSHKXXL,SUMINISTRO PARA SUBLIMACION,Unit,CAMISAS BLANCA DE NIÑ0 XXL,0,1,1,1,3.80,image/art_CAMISAPOLICOTONNIÑO.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
BP37,SUMINISTRO PARA SUBLIMACION,Unit,BOTONES DE 37MM,0,1,1,1,0.14,image/art_BOTONES37MM.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
SFFLUSG,TINTAS,Unit,SOLVENTE FLUSH GALAXI,0,1,1,1,21.02,image/art_SOLVENTEGALAX.jfif,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
SFBLANCO,TINTAS,Unit,SOLVENTE FLUSH DTF BOTELLA BLANCO,0,1,1,1,24.00,image/art_SOLVENTEGALAX.jfif,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
L227,LAMINADORES,Unit,LAMINADOR COLD (GLOSS) 50MIC /1.37 X50M,0,1,1,1,45.99,image/art_LAMINADOR.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
L226,LAMINADORES,Unit,LAMINADOR MATE 50MIC 1.52 M,0,1,1,1,54.99,image/art_LAMINADORMATE.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
CC0831,LAMINADORES,Unit,IMAX LAMINADOR UV 80 MIC 1.06 M,0,1,1,1,5879.00,image/art_LAMINADORUV.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
FF179,VINILES ESPECIALES,Yard,GRAFICO DE PISO 1.50X50M 180 MICRON/110GRS LINER CLEAR PERMANENT GLUE YARDS,0,1,1,1,6.75,image/art_GRAFICODEPISO.png,Yard,Yard,Yard,CASA MATRIZ - Imgraf,Importadora Grafica
TSRFB11,SUMINISTRO PARA SUBLIMACION,Unit,TAZA 11OZ ROJO CON FONDO BLANCO,0,1,1,1,1.25,image/art_TAZAFONDODECOLOR.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
TSVFB11,SUMINISTRO PARA SUBLIMACION,Unit,TAZA 11OZ VERDE CON FONDO BLANCO,0,1,1,1,1.25,image/art_TAZAFONDODECOLOR.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
TSMFB11,SUMINISTRO PARA SUBLIMACION,Unit,TAZA 11 OZ MORADA CON FONDO BLANCO,0,1,1,1,1.25,image/art_TAZAFONDODECOLOR.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
TSPB11,SUMINISTRO PARA SUBLIMACION,Unit,TAZA 11OZ PLATA CON FONDO BLANCO,0,1,1,1,1.35,image/art_TAZAFONDODECOLOR.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
TSCFB11,SUMINISTRO PARA SUBLIMACION,Unit,TAZA 11OZ CELESTE CON FONDO BLANCO,0,1,1,1,1.65,image/art_TAZAFONDODECOLOR.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
TSRR11,SUMINISTRO PARA SUBLIMACION,Unit,TAZAS 11OZ SUBLIMACION FONDO ROSADO,0,1,1,1,1.65,image/art_TAZAFONDODECOLOR.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
HTW300SE,VINILES TEXTILES,Unit,VINYL TEXTIL ECOSOLVENTE PRINTABLE 50X30M,0,1,1,1,162.50,image/art_VINILTEXTILECOSOLVENTE.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
ONEWAY,SUMINISTRO PARA ROTULACION,Unit,ONE WAY VISION 1.37 M MICROPERFORADO,0,1,1,1,180.00,image/art_MICROPERFERADO.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
PRENSA1,EQUIPOS Y MAQUINARIAS,Unit,PRENSA DE TAZAS 11OZ,0,1,1,1,,image/art_PRENSADETAZA.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
PLANCHA,EQUIPOS Y MAQUINARIAS,Unit,PLANCHA PLANA 60*80,0,1,1,1,,image/art_PLANCHAPLANA60X80.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
IMPRESOR,EQUIPOS Y MAQUINARIAS,Unit,IMPRESOR EPSON 170,0,1,1,1,,image/art_IMPRESOREPSON170.jpg,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
LB3,SUMINISTRO PARA ROTULACION,Unit,LONA BANNER 300X500 1.05 X50M TRASLUCIDA,0,1,1,1,,image/art_LONA.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
LB2,SUMINISTRO PARA ROTULACION,Unit,LONA BANNER GLOSSY 500*500 50 MIC 1.50 M,0,1,1,1,,image/art_LONA.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
LB1,SUMINISTRO PARA ROTULACION,Unit,LONA BANNER GLOSSY 500*500 50 MIC 1.80 M,0,1,1,1,97.40,image/art_LONA.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
LBT137300,SUMINISTRO PARA ROTULACION,Unit,LONA BANNER 300*500 1.37 50M TRASLUCIDA,0,1,1,1,82.85,image/art_LONATRASLUSIDA.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
DTT01,ACCESORIOS,Unit,DISPENSADOR DE TAPE TÉRMICO,0,1,1,1,4.50,image/art_DISPENSADORDETAPE.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
PSZ90,EQUIPOS Y MAQUINARIAS,Unit,"PLANCHA, SUBLIMAR, ZAPATOS",0,1,1,1,200.00,image/art_PLANCHAZAPATOS.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
TPG11,SUMINISTRO PARA SUBLIMACION,Unit,TAZA 11OZ PLATING GOLD,0,1,1,1,1.67,image/art_TAZASSPARK.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
TGP11,SUMINISTRO PARA SUBLIMACION,Unit,TAZA 11OZ GLITTER PURPLE (MORADO ),0,1,1,1,1.67,image/art_TAZASSPARK.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
TGY11,SUMINISTRO PARA SUBLIMACION,Unit,TAZA 11OZ GLITTER AMARILLA,0,1,1,1,1.65,image/art_TAZASSPARK.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
TFPP11,SUMINISTRO PARA SUBLIMACION,Unit,TAZA FLUORESCENTE PURPLE 11 ONZ,0,1,1,1,1.25,image/art_TAZAFLUOMORADA.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
TFC11,SUMINISTRO PARA SUBLIMACION,Unit,TAZA FLUORESCENTE CELESTE 11 ONZ,0,1,1,1,1.25,image/art_TAZAFLUOCEL.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
TFP11,SUMINISTRO PARA SUBLIMACION,Unit,TAZA FLUORESCENTE PINK 11OZ,0,1,1,1,1.35,image/art_TAZAFLUOROSADA.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
TC12P,SUMINISTRO PARA SUBLIMACION,Unit,TAZA CON CUCHARA PINK 12 ONZ,0,1,1,1,2.02,image/art_TAZACUCHARA.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
TC12N,SUMINISTRO PARA SUBLIMACION,Unit,TAZA CON CUCHARA BLACK 12 ONZ,0,1,1,1,2.43,image/art_TAZACUCHARA.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
TC12O,SUMINISTRO PARA SUBLIMACION,Unit,TAZA CON CUCHARA ORANGE 12 ONZ,0,1,1,1,2.02,image/art_TAZACUCHARA.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
TC12B,SUMINISTRO PARA SUBLIMACION,Unit,TAZA CON CUCHARA BLUE 12 ONZ,0,1,1,1,2.43,image/art_TAZACUCHARA.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
TC12R,SUMINISTRO PARA SUBLIMACION,Unit,TAZA CON CUCHARA RED 12 ONZ,0,1,1,1,2.43,image/art_TAZACUCHARA.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
TC12Y,SUMINISTRO PARA SUBLIMACION,Unit,TAZA CON CUCHARA YELLOW 12 ONZ,0,1,1,1,2.43,image/art_TAZACUCHARA.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
MPSR07,SUMINISTRO PARA SUBLIMACION,Unit,MEDALLA PET REDONDA,0,1,1,1,,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
MPSRC06,SUMINISTRO PARA SUBLIMACION,Unit,MEDALLA PET REDONDO C/OJAL,0,1,1,1,0.75,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
MPSC05,SUMINISTRO PARA SUBLIMACION,Unit,MEDALLA PET CUADRADA,0,1,1,1,0.75,image/art_MEDALLACUADRADA.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
MPSR04,SUMINISTRO PARA SUBLIMACION,Unit,MEDALLA PET RECTANGULAR,0,1,1,1,0.75,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
MPSO03,SUMINISTRO PARA SUBLIMACION,Unit,MEDALLA PET OVALADA,0,1,1,1,0.75,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
MPSM02,SUMINISTRO PARA SUBLIMACION,Unit,MEDALLA PET MICKEY,0,1,1,1,0.75,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
MPSC01,SUMINISTRO PARA SUBLIMACION,Unit,MEDALLA PET CORAZON,0,1,1,1,0.75,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
PCMC60,EQUIPOS Y MAQUINARIAS,Unit,PLOTER DE CORTE MG630F,0,1,1,1,550.00,image/art_PLOTTERDECORTE.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
TSAMXXXXL,SUMINISTRO PARA SUBLIMACION,Unit,CAMISA ADULTO POLYCOTTON XXXXL,0,1,1,1,3.89,image/art_CAMISAPOLICOTON.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
TSAXXXL,SUMINISTRO PARA SUBLIMACION,Unit,CAMISA ADULTO POLYCOTTON XXXL,0,1,1,1,3.89,image/art_CAMISAPOLICOTON.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
TSAXXL,SUMINISTRO PARA SUBLIMACION,Unit,CAMISA ADULTO POLYCOTTON XXL,0,1,1,1,3.89,image/art_CAMISAPOLICOTON.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
TSAXL,SUMINISTRO PARA SUBLIMACION,Unit,CAMISA ADULTO POLYCOTTON XL,0,1,1,1,3.89,image/art_CAMISAPOLICOTON.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
TSAL,SUMINISTRO PARA SUBLIMACION,Unit,CAMISA ADULTO POLYCOTTON L,0,1,1,1,3.89,image/art_CAMISAPOLICOTON.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
TSAM,SUMINISTRO PARA SUBLIMACION,Unit,CAMISA ADULTO POLYCOTTON M,0,1,1,1,3.50,image/art_CAMISAPOLICOTON.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
PLEDPA,DISPLAY POP Y EVENTOS,Unit,PIZARRA LED PARED,0,1,1,1,55.00,image/art_PIZARRALEDPARED.jpg,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
PLED6080,DISPLAY POP Y EVENTOS,Unit,PIZARRA LED 60X80 PEDESTAL,0,1,1,1,55.00,image/art_PIZARRALED.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
VA10680M,SUMINISTRO PARA ROTULACION,Unit,VINYL ADHESIVO 1.06M GOMA GRIS MATTE 80 MIC,0,1,1,1,52.00,image/art_VINILADHESIVOMATE.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
VA13780M,SUMINISTRO PARA ROTULACION,Unit,VINYL ADHESIVO 1.37M GOMA GRIS MATTE 80 MIC,0,1,1,1,65.00,image/art_VINILADHESIVOMATE.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
VA15280M,SUMINISTRO PARA ROTULACION,Unit,VINYL ADHESIVO 1.52M GOMA GRIS MATTE 80MIC,0,1,1,1,77.00,image/art_VINILADHESIVOMATE.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
SP11090,PEPELES Y TRANSFERS,Unit,PAPEL PARA SUBLIMAR ROLLO 1.10M 90 GRAMOS,0,1,1,1,30.94,image/art_ROLLOSUBLIMAR.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
SP11075,PEPELES Y TRANSFERS,Unit,PAPEL PARA SUBLIMAR 1.10M 75 GRAMOS,0,1,1,1,37.94,image/art_PAPELPARASUBLIMAR.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
SPNC01,ACCESORIOS,Unit,NCORTADOR MANUAL PVC TROVICEL,0,1,1,1,19.00,image/art_CORTADORMANUAL.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
CRANAM,SUMINISTRO PARA SUBLIMACION,Unit,CAMISA RANGLAN AZUL M,0,1,1,1,2.50,image/art_CAMISARANGLANAZUÑ.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
SCNC02,ACCESORIOS,Unit,CORTADOR SIZADOR DE COROPLAST PARA DOBLES,0,1,1,1,19.00,image/art_CORTADORMANUAL.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
BPS40,SUMINISTRO PARA SUBLIMACION,Unit,BACK PACK SUBLIMABLE 40X40 BLANCO,0,1,1,1,1.90,image/art_CHAPETON.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
CHA2550,ACCESORIOS,Unit,CHAPETON ACERO INOXIDABLE 25*50,0,1,1,1,2.85,image/art_CHAPETON.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
CHA2540,ACCESORIOS,Unit,CHAPETON ACERO INOXIDABLE 25*40,0,1,1,1,2.45,image/art_CHAPETON.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
CHA2525,ACCESORIOS,Unit,CHAPETON ACERO INOXIDABLE 25*25,0,1,1,1,2.39,image/art_CHAPETON.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
CHA1840,ACCESORIOS,Unit,CHAPETON ACERO INOXIDABLE18*40,0,1,1,1,2.25,image/art_CHAPETON.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
CHA1825,ACCESORIOS,Unit,CHAPETON ACERO INOXIDABLE 18*25,0,1,1,1,1.99,image/art_CHAPETON.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
TC1000,ACCESORIOS,Unit,TIRRO CREPE,0,1,1,1,0.30,image/art_TIRROCREPE.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
